StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q164,Q167,Q167_15_TEXT,Q168,Q242,Q153,Q233,Q233_4_TEXT,Q155,Q155_12_TEXT,Q248,Q239,Q239_7_TEXT,Q169,Q143_Id,Q143_Name,Q143_Size,Q143_Type,QID22,Q93,Q93_11_TEXT,Q98_1,Q98_2,Q98_3,Q98_12,Q197_1,Q197_2,Q197_12,Q197_13,Q197_14,Q197_14_TEXT,Q99_1,Q99_2,Q99_6,Q99_3,Q99_4,Q99_5,Q99_7,Q99_8,Q100_1,Q100_2,Q100_3,Q100_4,Q219_1,Q219_2,Q219_2_TEXT,Q219_3,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17,Q45,Q45_7_TEXT,Q46,Q46_7_TEXT,Q47,Q47_3_TEXT,Q49,Q49_11_TEXT,Q50,Q50_5_TEXT,Q59,Q60,Q60_5_TEXT,Q157,Q158,Q158_13_TEXT,Q176,Q176_7_TEXT,Q177,Q178,Q189,Q179,Q179_9_TEXT,Q232,Q233.1,Q233_9_TEXT,Q233_5_TEXT,Q234,Q235,Q235_3_TEXT,Q236,Q237,Q238,Q238_6_TEXT,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_7_TEXT,Q23,Q23_3_TEXT,Q25,Q25_4_TEXT,Q27,Q27_5_TEXT,Q29,Q29_6_TEXT,Q31,Q31_8_TEXT,Q33,Q33_7_TEXT,Q36,Q36_7_TEXT,Q39,Q39_4_TEXT,Q41,Q41_5_TEXT,Q43,Q43_5_TEXT,Q238_1,Q238_2,Q238_3,Q238_4,Q238_5,Q238_6,Q238_7,Q238_8,Q103,Q103_9_TEXT,Q105_1,Q105_2,Q105_3,Q105_4,Q105_5,Q105_6,Q105_6_TEXT,Q105_7,Q107,Q107_7_TEXT,Q110,Q111_1,Q111_2,Q111_3,Q111_4,Q111_5,Q111_6,Q111_7,Q111_8,Q111_9,Q111_10,Q111_11,Q111_12,Q111_12_TEXT,Q113,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q115_6,Q115_7,Q115_8,Q115_8_TEXT,Q152,Q152_8_TEXT,Q226_1_1,Q226_1_2,Q226_2_1,Q226_2_2,Q226_3_TEXT,Q226_3_1,Q226_3_2,Q137,Q91,Q116,Q66,Q111_1.1,Q69,Q231,Q68_1,Q70,Q71,Q71_4_TEXT,Q72,Q72_4_TEXT,Q74,Q74_11_TEXT,Q77_1,Q78,Q230,Q80_1,Q84,Q81,Q81_4_TEXT,Q82,Q82_4_TEXT,Q83,Q83_9_TEXT,Q121,Q121_4_TEXT,Q85,Q85_4_TEXT,Q62_1,Q62_1_TEXT,Q62_2,Q62_3,Q62_4,Q63,Q63_9_TEXT,Q92_1_1,Q92_1_2,Q92_1_3,Q92_2_1,Q92_2_2,Q92_2_3,Q92_3_1,Q92_3_2,Q92_3_3,Q92_4_1,Q92_4_2,Q92_4_3,Q92_5_1,Q92_5_2,Q92_5_3,Q92_6_1,Q92_6_2,Q92_6_3,Q92_7_1,Q92_7_2,Q92_7_3,Q92_8_TEXT,Q92_8_1,Q92_8_2,Q92_8_3,Q88_1_1,Q88_1_2,Q88_1_3,Q88_2_1,Q88_2_2,Q88_2_3,Q88_3_1,Q88_3_2,Q88_3_3,Q88_4_TEXT,Q88_4_1,Q88_4_2,Q88_4_3,Q89_1_1,Q89_1_2,Q89_1_3,Q89_2_1,Q89_2_2,Q89_2_3,Q89_3_1,Q89_3_2,Q89_3_3,Q89_4_TEXT,Q89_4_1,Q89_4_2,Q89_4_3,Q227_1_1,Q227_1_2,Q227_1_3,Q227_2_1,Q227_2_2,Q227_2_3,Q227_3_1,Q227_3_2,Q227_3_3,Q227_4_1,Q227_4_2,Q227_4_3,Q227_5_TEXT,Q227_5_1,Q227_5_2,Q227_5_3,Q228_1_1,Q228_1_5,Q228_1_2,Q228_2_1,Q228_2_5,Q228_2_2,Q228_3_1,Q228_3_5,Q228_3_2,Q228_4_1,Q228_4_5,Q228_4_2,Q228_5_1,Q228_5_5,Q228_5_2,Q228_6_1,Q228_6_5,Q228_6_2,Q228_7_1,Q228_7_5,Q228_7_2,Q228_8_1,Q228_8_5,Q228_8_2,Q228_9_1,Q228_9_5,Q228_9_2,Q228_10_TEXT,Q228_10_1,Q228_10_5,Q228_10_2,Q245_1,Q245_2,Q245_3,Q245_4,Q245_5,Q245_6,Q245_7,Q245_8,Q245_9,Q245_10,Q245_11,Q245_12,Q245_13,Q245_13_TEXT,Q245_14,Q245_15,Q251,Q251_5_TEXT,Q246,Q249_1,Q249_2,Q249_3,Q249_4,Q249_5,Q249_6,Q249_7,Q249_8,Q249_9,Q249_10,Q249_11,Q249_12,Q249_13,Q249_14,Q249_15,Q249_16,Q249_17,Q249_18,Q249_19,Q249_19_TEXT,Q249_20,Q249_21,Q252,Q252_5_TEXT,Q250,Q253,Country_Cleaned_Up
4/8/21 20:22,4/8/21 23:00,100,9530,True,4/8/21 23:01,Singapore,Rooms or subsections of multiple buildings,,,,Less than 10 years,,,School (Primary/secondary/high school),,,,,https://www.mdpi.com/2075-5309/10/10/174,,,,,Data about the occupants (occupant demographics and/or meta data),Students,,20.0,80.0,0.0,,,,,,,,0.0,100.0,0.0,0.0,,,,,30.0,50.0,21.0,,,,,,,Income,"Occupant type,Age,Gender","Education,Income,Health/ Well-being,10,11,12",,Education,Income,Education,Income,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singapore
4/13/21 8:32,4/13/21 8:51,100,1153,True,4/13/21 8:51,Canada,A whole building,,,,Less than 10 years,,,University or higher education office,,,,,https://doi.org/10.22215/etd/2020-14023,F_12by47Bx4xEROHY,data.zip,3442200.0,application/zip,"Building HVAC and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing,An intervention or experiment that was designed to improve building performance or occupant satisfaction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VAV AHU system with zone reheat and other perimeter heating,,Mechanical - Forced Air,,11 - 50 zones,Less than 20 m2 (215 sqft),,"CO2,RH,Temperature,Terminal device airflow,Others",PIR sensors,,,,,,,,,,,,Not collected,Motion sensing,"Radio-based,Consumption sensing",Environmental sensing,Not collected,Not collected,Not collected,,,,,,PIR,,WiFi,,CO2-sensing,,,,,,,,Plug Load Power Meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intervention related to system and control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
4/15/21 9:00,4/15/21 9:25,100,1511,True,4/15/21 9:25,United States of America,Multiple whole buildings (2-5 buildings),,,,26 to 50 years,,,University or higher education office,,,,,,,,,,"Building HVAC and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing,An intervention or experiment that was designed to improve building performance or occupant satisfaction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"VAV AHU system with zone reheat and other perimeter heating,DOAS with VRF serving radiant heaters and chilled beams",,Mechanical - Forced Air,,11 - 50 zones,8,,"CO2,RH,Temperature,Terminal device airflow",,,,,,,,,,,,,Radio-based,Not collected,Radio-based,Not collected,Not collected,Not collected,Not collected,,,,,,,,WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intervention related to system and control,,,,,,,,,Manual,,,"System-level actuation (e.g., systems affecting multiple zones such as AHU)",,,,,,,,,,,,Cooling,,,,Set point setback schedule,Availability (on/off) schedule,,,,,,,,,,Count,,,,,Energy efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States
4/19/21 16:36,4/19/21 17:25,100,2949,True,4/19/21 17:25,brazil,A room or small set of rooms in a larger building,,,,11 to 25 years,,,University or higher education office,,,,,,,,,,"Data about the occupants (occupant demographics and/or meta data),Building HVAC and automation and/or controls information,Data about occupant interaction interfaces and motivation,An intervention or experiment that was designed to improve building performance or occupant satisfaction","Office workers,Students",,40.0,60.0,,,,,,,,,,,10.0,90.0,70.0,45.0,0.0,,,0.0,0.0,,,,,,,13,"Age,Gender,11,12",13,,13,13,10,13,,,,,,,,,,,,,,,No,VAV AHU system without zone reheat or perimeter heating,,Unregulated mixed-mode (opening windows in a room does not affect mechanical ventilation),,Less than 5 zones,6,,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Operable window,Cooling,Fan",,"Operable window,Adjustable internal blind,Light,Cooling,Ventilation,Fan",Other,Other,Other,Other,Other,,,Other,,Yes,,,Collected via Survey,Collected via Survey,,,,,,,Collected via Survey,Collected via Survey,,No,,,,,,,,,,Intervention related to system and control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil
4/19/21 17:27,4/19/21 17:53,100,1568,True,4/19/21 17:53,,A room or small set of rooms in a larger building,,,,Less than 10 years,,,University or higher education office,,,,,,,,,,"Data about the occupants (occupant demographics and/or meta data),Building HVAC and automation and/or controls information,Data about occupant interaction interfaces and motivation,An intervention or experiment that was designed to improve building performance or occupant satisfaction","Office workers,Students",,40.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,12,"Age,Gender",12,,12,12,Occupant type,12,,,,,,,,,,,,,,,No,,,Unregulated mixed-mode (opening windows in a room does not affect mechanical ventilation),,Less than 5 zones,6,,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Operable window,Adjustable internal blind,Cooling,Fan",,"Operable window,Adjustable external blind,Adjustable internal blind,Light,Cooling,Ventilation",,,,,,,,Other,,Yes,Collected via Survey,Collected via Survey,,,,Collected via Survey,,,,,Collected via Survey,,,No,,,,,,,,,,Intervention related to system and control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not provided
4/27/21 10:20,4/27/21 10:44,100,1411,True,4/27/21 10:44,Denmark,A whole floor or similar larger subsection of a building,,,,Less than 10 years,,,Mid- to high-rise apartment (more than five floors),,,,,https://doi.org/10.1080/09613218.2021.1920362,,,,,"Building HVAC and automation and/or controls information,Data about occupant interaction interfaces and motivation,An intervention or experiment that was designed to improve building performance or occupant satisfaction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,VAV AHU system without zone reheat or perimeter heating,,Unregulated mixed-mode (opening windows in a room does not affect mechanical ventilation),,11 - 50 zones,"Less than 20 m2 (215 sqft),6",,"CO2,RH,Temperature,Window contact sensor,Others","Heating supply and return temperatures, heat and electricity metering, heating setpoint log",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating,,"Operable window,Adjustable internal blind,Light,Heating",,,,,Ventilation,,,"Phone system  (no tracking),Face to Face communictaion (no tracking)",,No,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,,No,,,,,,,,,,Intervention related to system and control,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,"Model-based fault detection, without any automated control.",,,,,,,,,,,Presence,,,,,"Energy efficiency,Comfort,Indoor environmental quality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denmark
4/20/21 1:03,4/28/21 2:16,100,695561,True,4/28/21 2:16,italy,A whole building,,,,Less than 10 years,,,University or higher education office,,,,,,,,,,"Building HVAC and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Regulated mixed-mode (mechanical ventilation rate of a room changes when a window is open),,Less than 5 zones,"Less than 20 m2 (215 sqft),6",,"CO2,Temperature,Window contact sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy
4/30/21 7:20,4/30/21 7:40,100,1178,True,4/30/21 7:40,Canada,A room or small set of rooms in a larger building,,,,51-100 years,,,University or higher education office,,,,,,,,,,"Data about the occupants (occupant demographics and/or meta data),Building HVAC and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing,Data about occupant interaction interfaces and motivation,An intervention or experiment that was designed to improve building performance or occupant satisfaction","Office workers,Students",,47.0,50.0,4.0,,,,,,,,,44.0,,51.0,,,,,31.0,45.0,,,,,,,,11,"Occupant type,Gender,Education,10,11,12",Education,,Education,"Occupant type,Age,Health/ Well-being,10",Income,10,,,,,,,,,,,,,,,Yes,VAV AHU system with zone reheat and other perimeter heating,,Mechanical - Forced Air,,Less than 5 zones,21 m2 to 50 m2 (538 sqft),,"CO2,RH,Temperature,Terminal device airflow,Discharge air temperature (i.e., air temperature at supply diffuser),Door contact sensors,Others","Test 1, Test 2",,,,,,,,,,,,Not collected,Motion sensing,Not collected,Not collected,Not collected,Not collected,Not collected,,,,,,PIR,,,,,,,,,,,,,,,,,,,,,,,,"Adjustable internal blind,Light,Heating,Cooling,Ventilation",,Light,Light,Light,Light,Light,Light,,,"Online system (complaints tracked and stored in a database),Online system (no tracking),Phone system  (no tracking)",,No,Not investigated,Not investigated,,,,,,,,,,,,No,,,,,,,,,,Intervention related to system and control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
7/13/21 8:38,7/13/21 9:17,100,2293,True,7/13/21 9:17,Canada,A whole building,,,,11 to 25 years,New Construction (built recently),,"University or higher education office,University or higher education classroom,University or higher education laboratory,Food Service/Restaurant/Cafeteria",,,,,https://doi.org/10.22215/etd/2020-14023,F_1Ka9FFo0FMUzCDC,Case study.zip,9177667.0,application/zip,"Data about the occupants (occupant demographics and/or meta data),Building HVAC and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing,An intervention or experiment that was designed to improve building performance or occupant satisfaction","Office workers,Academics,Teacher,Students,Pupils",,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,,100.0,"Occupant type,Age,Gender,Education,Income,Health/ Well-being",,,,,,,,,Only occupant-counts collected without regard for demographic information,,,,,,,,,,,,,,Yes,VAV AHU system with zone reheat and other perimeter heating,,Mechanical - Forced Air,,51-100 zones,51 m2 to 200 m2 (2150 sqft),5-10 Occupants,"Temperature,Terminal device airflow",,11 - 15 years,Fluorescent bulb size (T5/ T8/ T12),T8,,Programmable on same BAS network the HVAC controls,,,51 m2 to 200 m2 (2150 sqft),5-10 Occupants,"Controllable thermostats (not those that display numbers and do nothing else),Lights with manual override,Roller shades",,,,"Radio-based,Environmental sensing,Human-in-the-Loop ","Motion sensing,Environmental sensing",,,,,,,,,PIR,,WiFi,,CO2-sensing,,,,,,,,,,Manual Counting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intervention related to system and control,,"August 18, 2018","February 1, 2019","August 18, 2019","February 1, 2020",,,,Automatic,Not aware at all,,"System-level actuation (e.g., systems affecting multiple zones such as AHU)",,,,,,,,,,Other,Decision trees (trained offline),Ventilation,,Actuator control (e.g. dumpers),,,,,Outdoor air damper,,Other,Decision trees (trained offline),,,,,Count,,,,,Energy efficiency,,453 MWh,329 MWh,,71 MWh,70 MWh,,297 MWh,183 MWh,,85 MWh,76 MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
7/30/21 2:55,7/30/21 4:45,100,6607,True,7/30/21 4:45,Germany,A whole building,,,,Less than 10 years,New Construction (built recently),,"General office,University or higher education office,University or higher education laboratory",,,,,http://publications.rwth-aachen.de/record/443118/files/5046.pdf,,,,,"Data about the occupants (occupant demographics and/or meta data),Data about the building operators or operations policies for non-residential case studies,Building HVAC and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing,Data about occupant interaction interfaces and motivation,An intervention or experiment that was designed to improve building performance or occupant satisfaction","Office workers,Academics,Students",,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,,100.0,"Occupant type,Age,Gender,Education,Income,Health/ Well-being",,,,,,,,,,Other (please specify),Researchers,Other (please specify),University,Full time (stable occupant of the building),,"No, they do not",,There were no restrictions,,No,,,Yes,"VAV AHU system with zone reheat and other perimeter heating,DOAS with fan coil units,Floor heating/cooling,Concrete core tempering/component activation,Ceiling fan system",,Other,"Multiple, depending on the zone and room type",51-100 zones,Less than 20 m2 (215 sqft),2-4 Occupants,"Temperature,Terminal device airflow,Window contact sensor,Window contact sensors",,newer than 5 years,Fluorescent,,,Standalone dimmable switch (non-programmable),,,Less than 20 m2 (215 sqft.),2-4 Occupants,"Operable windows,Controllable thermostats (not those that display numbers and do nothing else),Lights with manual override,Roller shades,Venetian blinds",,Not collected,Image-based,Not collected,Image-based,Not collected,Not collected,,,"Video,Other",Stereo cameras with height and motion detection,,,,,,,,,,,,,,,,,,,"Activity rate,Clothing level,Comfort experience,Personal attitude,Social norms,Degree of control",,,,,,,"Activity rate,Clothing level,Comfort experience","Operable window,Heating,Cooling,Ventilation,Fan",,"Operable window,Adjustable external blind,Adjustable internal blind,Light,Heating,Cooling,Ventilation,Fan",,"Heating,Cooling,Ventilation,Fan",,Adjustable external blind,,,,Face to Face communictaion (no tracking),,Yes,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,Not investigated,,No,,,,,,,,,,"Intervention related to system and control,Intervention related to occupants' adaptation",,,,,,,,,,,,"Zone-level actuation,System-level actuation (e.g., systems affecting multiple zones such as AHU)","Heating,Cooling and Ventilation",,"Set point control,Schedule control",Temperature,,,,,,,,"Heating,Cooling,Ventilation",,"Set point control,Schedule control",Supply air temperature setpoint,,,,,,,,"Adjusting clothing,Making other decisions that would change their situation towards improving an objective,Other",Opening/Closing Windows,"Education and awareness-raising programmes,Data visualization",,,,,,,"Energy efficiency,Comfort,Indoor environmental quality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
